Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
SampledImageReader_2.0.26,13,0.0,0.0,5.0,14.0,0.25,377,0
CubicBezierCurve_2.0.26,1,0.0,0.0,0.0,1.0,0.0,39,0
PDMeshBasedShadingType_2.0.26,1,0.0,3.0,2.0,1.0,0.0,123,1
PDShadingType4_2.0.26,4,0.0,2.0,4.0,15.0,0.5,98,1
PDShadingType5_2.0.26,4,0.0,2.0,3.0,15.0,0.5,76,1
PDExtendedGraphicsState_2.0.26,66,0.0,0.0,13.0,90.0,0.837,185,1
PDGraphicsState_2.0.26,53,0.975,0.0,10.0,54.0,0.9,179,0
PDAnnotationMarkup_2.0.26,59,0.0,1.0,21.0,60.0,0.883,243,0
CloudyBorder_2.0.26,66,0.826,0.0,2.0,41.0,0.674,535,0
PDFileAttachmentAppearanceHandler_2.0.26,8,0.0,1.0,7.0,70.0,0.607,62,1
PDHighlightAppearanceHandler_2.0.26,26,0.0,1.0,16.0,96.0,0.5,123,0
PDInkAppearanceHandler_2.0.26,17,0.0,1.0,8.0,91.0,0.5,67,0
PDLineAppearanceHandler_2.0.26,31,0.0,1.0,10.0,112.0,0.5,150,0
PDPolygonAppearanceHandler_2.0.26,26,0.0,1.0,13.0,110.0,0.625,100,0
PDPolylineAppearanceHandler_2.0.26,30,0.0,1.0,14.0,96.0,0.524,115,0
PDSquigglyAppearanceHandler_2.0.26,14,0.0,1.0,18.0,111.0,0.5,93,0
PDStrikeoutAppearanceHandler_2.0.26,17,0.0,1.0,8.0,91.0,0.5,76,0
PDUnderlineAppearanceHandler_2.0.26,17,0.0,1.0,8.0,91.0,0.5,76,0
COSFilterInputStream_2.0.26,18,0.25,0.0,0.0,8.0,0.417,47,1
AppearanceGeneratorHelper_2.0.26,73,0.895,0.0,30.0,158.0,0.774,428,1
PDAcroForm_2.0.26,45,0.816,0.0,22.0,95.0,0.864,236,1
PDFieldFactory_2.0.26,17,0.0,0.0,16.0,13.0,0.187,48,0
PDTerminalField_2.0.26,16,0.0,1.0,8.0,37.0,0.722,71,0
PreflightParser_2.0.26,116,0.891,3.0,29.0,207.0,0.858,369,0
